,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cap-aux-meules,75,CA,75,47.38,-61.86,8.0,8.2
1,nikolskoye,90,RU,85,59.7,30.79,1.11,9.0
2,cidreira,48,BR,80,-30.17,-50.22,23.78,0.95
3,puerto ayora,20,EC,66,-0.74,-90.35,30.0,6.2
4,sao filipe,0,CV,95,14.9,-24.5,21.83,7.15
5,naze,75,NG,88,5.43,7.07,27.0,1.45
6,trat,24,TH,62,12.25,102.51,29.44,2.75
7,atuona,92,PF,100,-9.8,-139.03,27.43,4.9
8,pevek,0,RU,77,69.7,170.27,-17.92,1.65
9,hermanus,100,ZA,99,-34.42,19.24,15.0,0.89
10,rundu,64,NA,36,-17.91,19.77,24.58,2.7
11,san cristobal,75,EC,63,-0.39,-78.55,20.0,7.7
12,aykhal,80,RU,81,65.95,111.51,-4.67,3.55
13,upernavik,64,GL,100,72.79,-56.15,-11.72,1.05
14,hilo,90,US,69,19.71,-155.08,26.11,3.6
15,hobart,75,AU,66,-42.88,147.33,10.0,4.1
16,mataura,20,NZ,74,-46.19,168.86,12.78,3.58
17,busselton,44,AU,43,-33.64,115.35,21.67,6.8
18,amudat,0,UG,73,1.95,34.95,18.83,2.2
19,yellowknife,75,CA,59,62.45,-114.38,2.22,7.2
20,konosha,56,RU,89,60.97,40.26,-1.97,3.8
21,hualmay,12,PE,70,-11.1,-77.61,23.28,2.35
22,vaini,0,IN,92,15.34,74.49,20.18,1.15
23,severo-kurilsk,48,RU,100,50.68,156.12,-2.47,1.8
24,sitka,8,US,30,37.17,-99.65,10.0,2.68
25,vila franca do campo,40,PT,76,37.72,-25.43,13.0,8.2
26,grand-lahou,8,CI,81,5.24,-5.0,27.63,2.7
27,kapaa,40,US,61,22.08,-159.32,26.0,6.2
28,batken,0,KG,70,40.06,70.82,5.33,1.85
29,cape town,75,ZA,82,-33.93,18.42,17.22,2.1
30,georgetown,40,GY,74,6.8,-58.16,31.0,6.2
31,castro,90,CL,100,-42.48,-73.76,14.0,2.6
32,arraial do cabo,0,BR,65,-22.97,-42.02,25.0,1.5
33,rikitea,68,PF,100,-23.12,-134.97,24.93,8.3
34,bredasdorp,76,ZA,87,-34.53,20.04,16.0,5.1
35,punganuru,0,IN,68,13.36,78.57,19.78,0.15
36,solginskiy,76,RU,89,61.05,41.34,-1.62,4.25
37,chokurdakh,36,RU,70,70.62,147.9,-12.42,1.3
38,kamloops,75,CA,31,50.68,-120.34,16.0,2.1
39,ushuaia,75,AR,81,-54.81,-68.31,11.0,7.2
40,kavaratti,0,IN,100,10.57,72.64,28.73,5.25
41,mamallapuram,20,IN,83,12.63,80.17,29.0,2.6
42,brownsville,90,US,93,25.91,-97.49,9.44,7.7
43,north bend,20,US,82,43.41,-124.22,21.11,6.7
44,horasan,80,TR,94,40.04,42.16,-2.52,1.1
45,san patricio,88,PY,67,-26.98,-56.83,29.98,1.55
46,morros,75,BR,100,-2.87,-44.04,25.0,3.6
47,avarua,92,CK,83,-21.21,-159.78,28.0,4.6
48,port alfred,88,ZA,93,-33.59,26.89,20.83,2.4
49,kodiak,1,US,11,39.95,-94.76,8.33,2.1
50,albany,75,US,56,42.65,-73.75,7.22,8.2
51,chuy,8,UY,85,-33.69,-53.46,22.53,3.5
52,geraldton,75,CA,33,49.72,-86.95,-1.0,5.1
53,sorland,75,NO,80,67.67,12.69,-1.0,3.1
54,san lazaro,20,BZ,62,18.04,-88.66,30.0,4.1
55,margate,75,AU,66,-43.03,147.26,10.0,4.1
56,takoradi,0,GH,100,4.89,-1.75,27.78,2.55
57,esperance,20,TT,55,10.24,-61.45,31.0,6.7
58,roma,0,IT,76,41.89,12.48,12.22,1.5
59,khatanga,80,RU,91,71.98,102.47,-1.27,5.45
60,lompoc,1,US,38,34.64,-120.46,27.22,6.2
61,bethel,1,US,52,60.79,-161.76,8.0,1.5
62,honningsvag,75,NO,79,70.98,25.97,-2.0,11.3
63,talagante,0,CL,56,-33.66,-70.93,23.89,6.7
64,rondonopolis,0,BR,61,-16.46,-54.64,30.88,1.2
65,new norfolk,75,AU,66,-42.78,147.06,10.0,4.1
66,jamestown,8,AU,82,-33.21,138.6,3.53,1.2
67,wajid,0,SO,36,3.81,43.25,25.83,3.7
68,touros,76,BR,99,-5.2,-35.46,26.38,1.75
69,east london,76,ZA,100,-33.02,27.91,23.18,2.55
70,airai,0,TL,85,-8.93,125.41,17.33,0.25
71,saskylakh,56,RU,85,71.97,114.09,-5.82,6.9
72,zhigansk,80,RU,83,66.77,123.37,-8.12,2.85
73,qaanaaq,32,GL,78,77.48,-69.36,-18.72,1.95
74,ahuimanu,75,US,94,21.44,-157.84,26.11,2.1
75,saint-philippe,90,CA,74,45.36,-73.48,2.78,4.6
76,westport,92,IE,82,53.8,-9.52,7.78,2.7
77,san pedro,92,AR,68,-33.68,-59.66,26.67,3.2
78,constitucion,40,MX,12,23.99,-104.67,25.56,2.1
79,punta arenas,75,CL,62,-53.16,-70.91,13.0,8.2
80,ban nahin,36,LA,92,18.24,104.21,21.78,0.5
81,bayangol,92,MN,62,48.91,106.09,-2.92,1.2
82,coquimbo,20,CL,68,-29.95,-71.34,18.0,6.2
83,mahebourg,40,MU,88,-20.41,57.7,24.0,3.1
84,ambilobe,80,MG,99,-13.19,49.05,22.93,1.3
85,ankang,56,CN,78,32.73,108.99,0.28,0.8
86,port elizabeth,40,US,60,39.31,-74.98,14.0,9.8
87,le port,64,FR,54,42.87,1.37,10.0,3.13
88,saint george,0,GR,66,39.45,22.34,9.0,1.35
89,mbanza-ngungu,0,CD,92,-5.25,14.87,22.98,1.7
90,fort saint james,12,CA,56,54.43,-124.25,8.03,1.4
91,greenville,1,US,33,34.85,-82.4,18.0,10.8
92,mar del plata,0,AR,28,-46.43,-67.52,24.08,5.2
93,umm lajj,64,SA,95,25.02,37.27,18.03,5.35
94,aswan,0,EG,53,24.09,32.9,13.38,3.15
95,labuhan,12,ID,96,-2.54,115.51,22.03,0.6
96,bathsheba,40,BB,69,13.22,-59.52,28.0,8.2
97,yumbe,36,UG,93,3.47,31.25,19.93,1.3
98,tra vinh,68,VN,85,9.93,106.35,26.93,2.75
99,kutum,0,SD,21,14.2,24.66,19.08,4.75
100,norman wells,90,CA,95,65.28,-126.83,3.0,6.7
